Subject,Gender,Age,HouseholdIncome,MaterialHardship,ReverseTimes_R,Accuracy_R,RT_R,ReverseTimes_P,Accuracy_P,RT_P,PositiveLearningRate_R,NegtiveLearningRate_R,DecisionBias_R,InverseTemperature_R,PositiveLearningRate_P,NegtiveLearningRate_P,DecisionBias_P,InverseTemperature_P,Accuracy_SimonEffect,RT_SimonEffect
402040,2.00,20.00,4,2.00,5.00,0.73,0.49,2.00,0.67,0.60,0.7194719,0.3664971,0.007614524,3.1063867,0.7118604,0.6298471,-0.075130882,1.1884158,-0.036,0.120
402041,2.00,18.00,3,2.25,3.00,0.75,0.72,2.00,0.67,0.61,0.6723296,0.5500861,-0.213708646,1.2087014,0.7160738,0.3792063,-0.066451688,1.4127164,-0.036,0.146
402042,2.00,18.00,5,1.50,3.00,0.65,0.59,3.00,0.67,0.68,0.6399660,0.5742630,-0.308320312,1.3230751,0.7193145,0.4451039,-0.028643498,1.9788706,-0.036,0.096
402043,2.00,18.00,6,1.00,3.00,0.65,0.64,4.00,0.67,0.62,0.6767165,0.5223039,0.060733215,0.7714699,0.6876336,0.5433345,0.001349651,1.0340749,-0.107,0.188
402044,2.00,19.00,3,1.00,3.00,0.68,0.64,5.00,0.67,0.50,0.7279301,0.4688743,-0.138918760,0.8152822,0.7023305,0.3093687,-0.038610910,2.0427858,-0.036,0.063
402046,2.00,17.00,3,2.00,4.00,0.82,0.72,3.00,0.70,0.72,0.6132026,0.6640255,-0.104723716,1.3582830,0.6659458,0.6880998,-0.088488208,1.3068595,-0.179,0.057
402047,1.00,18.00,3,3.00,2.00,0.62,0.70,2.00,0.58,0.59,0.6303725,0.3877447,-0.148291768,0.7787783,0.6739660,0.4346730,-0.079928207,0.4849266,0.000,0.031
402048,2.00,18.00,3,2.25,5.00,0.72,0.50,6.00,0.72,0.54,0.7193477,0.3796038,0.054428379,2.8731820,0.7343297,0.3591816,-0.077912995,2.9887845,0.000,0.116
402049,2.00,18.00,1,4.25,3.00,0.53,0.73,3.00,0.65,0.84,0.6736803,0.5339023,0.103209345,0.6097905,0.6846543,0.5572607,-0.015077289,1.2649202,0.000,0.108
402051,2.00,19.00,7,1.50,3.00,0.70,0.61,4.00,0.78,0.57,0.5927542,0.5620475,-0.161143275,0.9082553,0.6902734,0.6517341,-0.106708538,1.2000463,-0.036,0.171
402052,1.00,18.00,4,1.50,2.00,0.70,0.46,2.00,0.62,0.67,0.5535580,0.4906568,-0.044206396,1.0001062,0.6837240,0.5200140,-0.037965466,0.5622293,-0.036,0.121
402053,2.00,19.00,4,1.00,2.00,0.68,0.50,3.00,0.75,0.62,0.6557222,0.5871309,-0.067832527,0.8118266,0.7064785,0.5805160,0.015412190,1.5316264,0.000,0.086
402054,2.00,18.00,2,3.75,1.00,0.67,0.59,4.00,0.75,0.60,0.7008331,0.7359102,-0.264135472,1.1253933,0.6718237,0.7431074,-0.059508240,1.0000732,-0.107,0.145
402055,2.00,18.00,4,2.25,6.00,0.85,0.60,7.00,0.72,0.56,0.7339706,0.4681588,-0.004049184,1.7119695,0.7173220,0.4615392,-0.091943077,1.6721502,-0.071,0.048
402056,2.00,18.00,3,2.50,3.00,0.77,0.48,4.00,0.78,0.45,0.6706092,0.7423274,-0.102792974,2.9408610,0.7090979,0.7311412,-0.004274306,2.1733795,0.000,0.114
402057,1.00,19.00,2,3.00,3.00,0.77,0.48,3.00,0.82,0.48,0.6722850,0.7221575,0.049516273,2.6037665,0.7037470,0.7712903,-0.041215239,2.7875725,-0.071,0.189
402058,1.00,19.00,3,1.00,4.00,0.67,0.65,5.00,0.62,0.65,0.6968352,0.4474036,-0.223398108,1.6839959,0.7104277,0.6498247,-0.066144935,1.2744954,0.000,0.097
402059,1.00,18.00,3,3.00,3.00,0.80,0.82,4.00,0.77,0.63,0.7004714,0.5638728,-0.209272459,1.2487299,0.7013138,0.7440609,-0.064553737,2.4088282,0.000,0.084
402060,2.00,19.00,2,2.25,3.00,0.67,0.60,2.00,0.67,0.76,0.6060270,0.4954868,-0.155986280,0.7440683,0.6685366,0.6787738,-0.114643292,0.8603927,0.000,0.162
402061,1.00,18.00,4,2.50,3.00,0.77,0.53,3.00,0.77,0.57,0.6645899,0.7539453,-0.040079783,2.2511963,0.7052987,0.7301840,-0.062802617,2.1438340,-0.036,0.064
402064,1.00,18.00,3,2.00,5.00,0.68,0.66,4.00,0.65,0.59,0.6985140,0.4720416,-0.006888192,0.8284849,0.6879946,0.2945473,-0.076035969,1.2881283,0.000,-0.091
402066,2.00,18.00,6,1.50,5.00,0.75,0.73,4.00,0.72,0.66,0.7105511,0.3713820,-0.065406279,1.5749321,0.7169961,0.3801584,-0.071528364,2.2751573,-0.107,0.142
402067,2.00,18.00,6,1.50,2.00,0.68,0.68,3.00,0.68,0.87,0.7076517,0.6133070,-0.224666824,1.4777816,0.6695339,0.7144900,-0.070429998,1.4451264,0.000,0.080
402068,1.00,18.00,4,2.00,1.00,0.72,0.49,2.00,0.77,0.50,0.7060845,0.5161293,0.020056394,0.8341884,0.7183340,0.4287779,-0.071391217,0.7062031,-0.036,0.089
402070,2.00,18.00,4,3.00,1.00,0.62,0.75,2.00,0.57,0.77,0.6828784,0.5447515,0.022002576,0.8270895,0.7072760,0.6897937,-0.043272887,2.2343591,0.000,0.072
402071,2.00,19.00,4,1.00,3.00,0.63,0.82,3.00,0.77,0.66,0.6622037,0.3272404,-0.037165447,1.1566244,0.7308341,0.6550835,-0.083534353,1.2908812,0.000,0.126
402072,2.00,18.00,3,1.00,4.00,0.80,0.55,4.00,0.72,0.59,0.7032408,0.6535625,0.002719955,1.8467021,0.7176911,0.4630341,0.020779367,1.1056980,0.000,0.053
402074,2.00,18.00,7,1.25,4.00,0.72,0.59,5.00,0.78,0.65,0.6738466,0.6122588,-0.038549882,2.0378421,0.7159773,0.5497636,-0.030268026,2.0149865,-0.071,0.216
402075,2.00,19.00,2,1.50,3.00,0.72,0.88,4.00,0.72,0.73,0.6197167,0.6410283,-0.080867797,1.1098930,0.7232895,0.3050525,-0.115682136,1.4968941,0.000,0.070
402078,1.00,19.00,4,1.00,5.00,0.72,0.55,1.00,0.43,0.37,0.7319802,0.5137032,-0.107771599,2.0157409,0.6975532,0.4874629,-0.040209323,0.4995289,-0.036,0.026
402079,2.00,18.00,1,1.00,4.00,0.77,0.65,4.00,0.72,0.68,0.7239001,0.4766586,0.048303074,1.9150377,0.7042952,0.6344328,-0.088959075,1.3594051,0.000,0.037
402080,1.00,18.00,2,3.00,6.00,0.75,0.57,7.00,0.80,0.55,0.7416536,0.3710237,0.105668945,2.1096098,0.7196714,0.3745990,-0.038467564,1.4800847,0.000,0.122
402081,1.00,19.00,3,3.00,1.00,0.73,0.52,3.00,0.63,0.59,0.6928395,0.6403969,-0.171346423,2.2442478,0.7123215,0.5429935,-0.068290863,2.0197388,0.000,0.053
402082,2.00,18.00,4,2.75,4.00,0.77,0.65,4.00,0.68,0.61,0.6225295,0.6681864,-0.091733372,1.9346826,0.7033050,0.6177425,-0.096645356,1.5538835,-0.036,0.083
402083,1.00,20.00,3,1.50,4.00,0.68,0.59,5.00,0.70,0.65,0.7020816,0.3726894,-0.180987209,1.6913957,0.7360515,0.3786960,-0.088629558,1.9057923,-0.143,0.047
410001,2.00,18.00,6,1.00,5.00,0.77,0.39,3.00,0.72,0.40,0.6673005,0.5789750,-0.192526505,1.5624930,0.7299210,0.3629617,-0.062097339,1.7778996,0.000,0.162
410002,1.00,19.00,6,1.00,2.00,0.65,0.52,4.00,0.65,0.56,0.6885349,0.4873737,0.109937287,1.6152381,0.7009872,0.5658620,-0.072668636,1.3875937,-0.143,0.100
410003,1.00,19.00,6,2.00,5.00,0.77,0.57,5.00,0.67,0.69,0.6966705,0.5129448,-0.105551787,1.3701500,0.6910608,0.5195575,-0.023422373,1.0225168,0.000,0.060
410005,1.00,18.00,2,1.25,1.00,0.58,0.49,2.00,0.67,0.60,0.6894846,0.6563125,0.015035914,0.5983908,0.6929268,0.7637955,-0.013685650,1.1664186,0.000,0.138
410006,1.00,19.00,2,2.50,2.00,0.70,0.64,6.00,0.72,0.69,0.6263582,0.6714466,0.107554212,1.9144164,0.7164013,0.4717564,-0.063954927,1.5177769,0.000,0.030
410008,1.00,19.00,5,2.00,5.00,0.80,0.52,3.00,0.73,0.56,0.6387276,0.5607175,-0.135438304,1.9857147,0.7236555,0.6886598,-0.050681633,1.6650097,-0.107,0.135
410009,1.00,19.00,4,1.25,4.00,0.75,0.63,3.00,0.55,0.53,0.6238401,0.5413664,-0.198699770,1.4164253,0.6809186,0.3385493,-0.024265572,1.1076649,0.000,0.086
410011,1.00,18.00,5,1.50,1.00,0.62,0.58,2.00,0.55,0.59,0.6585211,0.5548669,-0.229191294,0.6364586,0.7222954,0.4167381,-0.115985189,0.6530038,-0.071,0.045
410013,2.00,19.00,4,2.00,2.00,0.70,0.66,5.00,0.75,0.69,0.6714117,0.6545204,0.085642929,1.6405786,0.7094909,0.6570996,-0.075733548,1.6698209,0.000,0.083
410015,1.00,20.00,3,1.00,4.00,0.63,0.66,1.00,0.65,0.88,0.6800805,0.4851068,-0.127861002,1.4583486,0.7037941,0.5218297,-0.072129035,0.9457196,0.000,0.059
